iter	RMSE
0	1082778.754
1	1071410.828
2	1059865.347
3	1048522.349
4	1036693.578
5	844881.608266	838596.331477	830921.5188	8	824860.0169	9	819898.6601010	814221.8561111	808188.4121212	801801.2981313	797219.8311414	791522.0841515	784196.3621616	779962.047117	774152.4563118	766202.4612119	759852.2146220	753754.907321	881918.6759
22	874715.064
23	865681.3046
24	856581.8339
25	848950.2845
26	843310.5049
27	834309.5167
28	825654.4068
29	818997.0013
30	814137.3561
31	808659.5803
32	801924.3984
33	794650.403
34	790620.8037
35	784790.7983
36	777947.2906
37	771116.328
38	766426.2179
39	761634.2748
40	755112.9998
41	750407.4439
42	747485.5917
43	740710.8588
44	733950.0094
45	728378.6456
46	721871.9599
47	715188.6731
48	709987.7212
49	703758.8897
50	697770.0601
51	692178.5731
52	688456.6621
53	684205.1725
54	680046.4006
55	674098.1947
56	670577.1863
57	666337.2268
58	663938.4242
59	662247.4188
60	658021.6034
61	652572.6585
62	649295.7464
63	644247.1584
64	640003.5817
65	635577.1123
66	631676.415
67	628323.0137
68	623331.1912
69	618400.7407
70	614498.7951
71	611901.5385
72	607280.1959
73	604803.409
74	602309.868
75	598476.6268
76	595169.0263
77	592662.8167
78	589962.6365
79	586073.7957
80	583000.5089
81	579462.9834
82	576132.1561
83	572996.7284
84	570528.8575
85	567884.6923
86	566175.4943
87	563084.6061
88	560101.4571
89	556812.922
90	555700.1914
91	552272.3478
92	550020.318
93	548044.4492
94	544221.7211
95	540812.2247
96	539282.4599
97	536271.2765
98	534209.7603
99	532099.8708
100	530045.8133
101	526684.6929
102	523544.6796
103	519911.1771
104	518455.8432
105	515380.6513
106	513060.8669
107	510721.3504
108	509868.3343
109	508034.8382
110	504946.4747
111	502822.247
112	501002.8808
113	497708.8228
114	496536.9923
115	495081.831
116	492282.8914
117	490447.2587
118	488394.8269
119	485883.2001
120	483637.4516
121	481577.5371
122	479314.0968
123	476580.0191
124	474912.5672
125	472155.3517
126	470372.6058
127	466787.3612
128	465129.0406
129	463325.9095
130	461756.0125
131	459513.203
132	458722.8771
133	456518.3364
134	453688.4527
135	451902.4248
136	450315.1208
137	448692.6583
138	446216.2547
139	443623.7519
140	442973.5669
141	441017.7495
142	438464.0522
143	436708.8615
144	435111.2106
145	432272.9031
146	430733.038
147	429465.6911
148	427711.8772
149	426092.7217
150	424634.6597
151	423500.0684
152	421860.7568
153	419491.0477
154	417510.034
155	414895.861
156	413088.9931
157	411076.3464
158	409532.1545
159	408106.642
160	406648.3131
161	405206.0039
162	402773.9079
163	401607.2197
164	399548.0958
165	398285.7112
166	396162.6572
167	394193.2076
168	392647.7379
169	390825.0553
170	389461.5332
171	387230.7083
172	385645.8221
173	384154.8928
174	382711.4322
175	381508.3219
176	379915.5963
177	377908.292
178	376045.0249
179	374708.887
180	373408.3947
181	372559.8063
182	371154.4459
183	369559.0436
184	367394.5129
185	366289.5615
186	365296.9982
187	364092.857
188	362196.8234
189	360316.9414
190	358998.6635
191	357745.7327
192	355676.1912
193	354174.4537
194	352840.0289
195	350648.7559
196	348944.9267
197	347913.7763
198	346823.3745
199	345719.2952
200	344427.4022
201	343642.4322
202	342303.1692
203	340819.0238
204	338712.3492
205	337344.7405
206	335946.7195
207	334527.831
208	333315.9647
209	331842.1605
210	331142.0033
211	329675.7651
212	328688.8672
213	327653.2437
214	326413.7392
215	325399.2297
216	323678.5139
217	322208.8184
218	320824.8313
219	319479.5867
220	317564.2951
221	316268.1891
222	314575.1805
223	313392.4537
224	312372.1865
225	311553.5358
226	310656.3054
227	309376.009
228	307619.4302
229	306529.9751
230	305351.2209
231	304500.4763
232	303353.9418
233	302739.6232
234	301118.6828
235	300078.1232
236	299195.9267
237	297387.5585
238	296524.1921
239	295439.9429
240	293610.2685
241	292100.9027
242	291362.7208
243	289907.4001
244	288369.1253
245	287058.5753
246	285657.0653
247	284163.8539
248	282794.8902
249	281642.978
250	280864.9991
251	279973.1705
252	279287.5375
253	278401.3725
254	277593.9541
255	276540.7991
256	275050.819
257	273846.9268
258	273106.5153
259	272029.9285
260	271153.1872
261	270445.9096
262	269142.8038
263	268414.8979
264	267409.1756
265	266631.9277
266	265316.0229
267	264005.564
268	262509.0045
269	261821.1427
270	260446.7424
271	259330.4663
272	258018.741
273	256628.032
274	255992.035
275	255250.0077
276	254565.8089
277	253950.857
278	253272.9003
279	252426.7614
280	251621.8975
281	250924.275
282	249464.5946
283	248341.1271
284	247719.1999
285	246388.1994
286	245541.513
287	244846.175
288	244112.6371
289	242846.9284
290	241611.5597
291	241023.1087
292	239659.5518
293	238525.3204
294	237392.9764
295	236725.8155
296	236022.768
297	235298.9742
298	234005.05
299	233055.8016
300	231996.8904
301	231308.3463
302	230355.5377
303	229466.2682
304	228769.0135
305	228084.394
306	227472.6518
307	226810.7447
308	225569.6706
309	224423.0794
310	223300.7218
311	222329.0907
312	221679.8078
313	220791.9236
314	220155.104
315	219005.8133
316	218170.1868
317	217532.4482
318	216410.5214
319	215796.9329
320	214971.7308
321	214530.4171
322	213693.8225
323	212885.0434
324	212331.8376
325	211788.6267
326	210959.0563
327	210373.8249
328	209347.0705
329	208759.7064
330	207964.2765
331	206960.405
332	206381.5419
333	205397.396
334	204641.3418
335	204072.1287
336	203341.0163
337	202839.9795
338	202085.5204
339	201138.7577
340	200435.6892
341	199712.0684
342	199154.2666
343	198472.1892
344	197769.6546
345	197231.1625
346	196692.0137
347	196027.9071
348	195378.7912
349	194860.6277
350	194224.6909
351	193710.4077
352	193086.5983
353	192476.731
354	191955.6005
355	191461.521
356	190802.6741
357	190300.9636
358	189704.6818
359	189121.6973
360	188230.9597
361	187358.8781
362	186505.0198
363	185852.348
364	185296.1642
365	184650.2849
366	183831.1499
367	183289.9581
368	182701.0877
369	181861.2081
370	181372.9538
371	180570.2401
372	179782.7437
373	179259.5883
374	178779.6826
375	177998.2921
376	177408.4101
377	176783.632
378	176023.5203
379	175521.122
380	174775.5771
381	174284.7806
382	173804.519
383	173334.5091
384	172559.8668
385	171837.7994
386	171128.9148
387	170624.907
388	170199.5399
389	169718.4636
390	169258.2272
391	168785.4526
392	168333.0753
393	167539.3461
394	166712.8865
395	166017.6246
396	165338.2457
397	164674.3307
398	163978.6505
399	163333.2124
400	162796.0996
401	162270.0605
402	161591.1382
403	161075.5401
404	160503.3359
405	159877.4194
406	159371.8597
407	158868.7044
408	158316.8621
409	157553.3663
410	157011.4432
411	156508.1816
412	155765.5937
413	155240.6062
414	154631.4098
415	153908.6751
416	153400.8851
417	152643.3773
418	152029.2384
419	151291.6272
420	150690.4133
421	149972.1641
422	149294.3294
423	148820.8005
424	148382.0776
425	147922.6931
426	147239.9285
427	146836.1161
428	146441.2395
429	146055.0946
430	145677.4821
431	145030.887
432	144661.0905
433	144299.4395
434	143984.4678
435	143675.6513
436	143237.3904
437	142806.3209
438	142402.342
439	141983.8138
440	141362.5318
441	141022.1751
442	140691.4588
443	140310.7716
444	139935.8061
445	139631.0816
446	139262.6133
447	138962.6062
448	138588.7728
449	138220.7112
450	137760.4241
451	137406.1699
452	137112.4147
453	136593.7751
454	136141.9071
455	135782.0839
456	135337.4465
457	134981.3847
458	134543.8471
459	134203.849
460	133550.5549
461	133216.4247
462	132723.6091
463	132442.1316
464	132102.2248
465	131670.9617
466	131334.6003
467	130910.2493
468	130577.3995
469	130159.835
470	129684.334
471	129224.5075
472	128816.5894
473	128367.301
474	127968.459
475	127486.8274
476	127052.3114
477	126663.0726
478	126359.3102
479	126020.7495
480	125636.1707
481	125301.4909
482	124922.8855
483	124472.2488
484	124176.2863
485	123804.1027
486	123475.4791
487	123152.2582
488	122784.1953
489	122346.7899
490	121774.2752
491	121362.0155
492	121078.5437
493	120769.4219
494	120405.4808
495	119981.9693
496	119396.669
497	119001.8792
498	118513.2946
499	118118.6377
500	117763.6813
501	117491.4329
502	117142.2531
503	116845.2752
504	116501.4927
505	116207.9005
506	115735.1084
507	115171.1647
508	114882.305
509	114609.8592
510	114274.5346
511	114004.976
512	113674.9271
513	113216.6527
514	112662.7729
515	112398.1185
516	112137.5636
517	111688.1417
518	111176.2984
519	110919.5918
520	110392.7669
521	109858.0409
522	109615.3337
523	109297.66525524	109047.96485525	108735.26965526	108303.41652527	107800.92552528	107286.16052529	107040.81453530	106737.38953531	106236.08553532	105777.87953533	105483.4595534	105240.6357535	83348.3086
536	83173.2035
537	82669.69477
538	82363.63632
539	82133.97067
540	81811.34363
541	81606.65515
542	81437.18191
543	81209.44914
544	80913.63878
545	80708.85292
546	80482.49971
547	80316.67637
548	80092.00284
549	79869.49573
550	79704.4079
551	79483.06019
552	79263.28753
553	79099.241
554	78881.03675
555	78580.74568
556	78417.94258
557	78256.95941
558	78041.36161
559	77573.26673
560	77413.81277
561	77202.03925
562	76906.01921
563	76748.32692
564	76561.93626
565	76351.94509
566	76197.36089
567	75988.87682
568	75717.79722
569	75564.92778
570	75358.73806
571	75076.36034
572	74924.64658
573	74721.4374
574	74570.91283
575	74369.16519
576	74114.94781
577	73965.1938
578	73817.11423
579	73617.7612
580	73442.14336
581	73244.19598
582	72996.71477
583	72850.65593
584	72706.23026
585	72510.62852
586	72367.3342
587	72125.25385
588	71983.45959
589	71790.40771
590	71539.59076
591	71302.69542
592	71162.36994
593	71023.61383
594	70789.55794
595	70524.50947
596	70293.42724
597	70028.61268
598	69844.40822
599	69708.01259
600	69573.13617
601	69314.43942
602	69101.45779
603	68891.01136
604	68703.43191
605	68570.88618
606	68363.41532
607	68232.70081
608	68028.04767
609	67899.13641
610	67616.18041
611	67432.21366
612	67230.40685
613	66953.2273
614	66757.41764
615	66576.91743
616	66382.75055
617	66204.18348
618	66078.02856
619	65886.1056
620	65614.46806
621	65438.96458
622	65248.07897
623	65074.45769
624	64885.16543
625	64713.40772
626	64590.01753
627	64402.89554
628	64217.91166
629	63952.48227
630	63783.09304
631	63599.09089
632	63431.52698
633	63311.02547
634	63129.11212
635	62869.51005
636	62704.82723
637	62523.8824
638	62360.97667
639	62181.52578
640	62056.38373
641	61802.45525
642	642	76452.5643	61464.36806
644	6644	75939.1645	61129.47983
646	60954.97935
647	60705.8889
648	60512.23075
649	60286.24515
650	60045.30681
651	59890.70362
652	59653.26489
